plant_id,created_at,temperature,module_temperature,ambient_temperature,solar_irradiation
1535727,2023-09-12 21:47:16.000000 UTC,28.5,26,26.8,0
1535727,2023-09-20 17:19:19.000000 UTC,28.5,26,26.4,1
1535727,2023-09-20 17:19:19.000000 UTC,28.5,26,26.4,1
1535727,2023-09-20 11:14:27.000000 UTC,28.5,26,26.7,7
1535727,2023-09-21 11:54:19.000000 UTC,28.5,26,26.7,1
1535727,2023-09-21 11:54:19.000000 UTC,28.5,26,26.7,1
1535727,2023-09-21 11:54:19.000000 UTC,28.5,26,26.7,1
1535727,2023-04-11 22:29:38.000000 UTC,27.2,26,28.1,1
1535727,2023-06-11 19:04:19.000000 UTC,28.2,26,26.5,1
1535727,2023-06-11 19:04:19.000000 UTC,28.2,26,26.4,1
1535727,2023-06-26 21:44:19.000000 UTC,28.2,26,26.3,1
1535727,2023-06-26 22:29:19.000000 UTC,28.2,26,26.3,1
1535727,2023-08-01 23:44:19.000000 UTC,28.2,26,26.5,17
1535727,2023-08-01 21:24:39.000000 UTC,28.2,26,26.5,1
1535727,2023-08-01 21:24:39.000000 UTC,28.2,26,26.5,1
1535727,2023-08-01 20:29:30.000000 UTC,28.2,26,26.4,1
1535727,2023-08-01 20:29:30.000000 UTC,28.2,26,26.4,1
1535727,2023-08-13 00:29:19.000000 UTC,28.2,26,26.4,13
1535727,2023-04-01 08:44:24.000000 UTC,30.2,26,25.5,197
1535727,2023-04-06 23:59:20.000000 UTC,27.7,26,26.8,5
1535727,2023-04-06 23:09:19.000000 UTC,27.7,26,26.2,1
1535727,2023-04-06 23:09:19.000000 UTC,27.7,26,26.1,1
1535727,2023-03-31 11:34:33.000000 UTC,28.7,26,27,1
1535727,2023-08-07 19:23:04.000000 UTC,28.7,26,26.6,0
1535727,2023-08-28 21:04:19.000000 UTC,28.7,26,27.1,1
1535727,2023-08-28 21:04:19.000000 UTC,28.7,26,27.2,1
1535727,2023-08-28 23:59:20.000000 UTC,28.7,26,26.9,7
1535727,2023-09-12 23:09:19.000000 UTC,28.7,26,26.8,1
1535727,2023-09-20 21:34:25.000000 UTC,28.7,26,26.3,0
1535727,2023-09-21 14:54:19.000000 UTC,28.7,26,26.5,0
1535727,2023-09-21 13:51:55.000000 UTC,28.7,26,26.7,1
1535727,2023-09-21 13:51:55.000000 UTC,28.7,26,26.7,1
1535727,2023-05-03 23:09:19.000000 UTC,28.4,26,27.1,0
1535727,2023-06-10 14:39:19.000000 UTC,28.4,26,26.4,1
1535727,2023-06-18 15:14:19.000000 UTC,28.4,26,26.4,1
1535727,2023-06-10 16:41:26.000000 UTC,28.4,26,26.3,1
1535727,2023-06-10 16:41:26.000000 UTC,28.4,26,26.3,1
1535727,2023-06-10 15:09:19.000000 UTC,28.4,26,26.3,1
1535727,2023-06-10 15:09:19.000000 UTC,28.4,26,26.3,1
1535727,2023-06-18 16:59:19.000000 UTC,28.4,26,26.3,1
1535727,2023-07-26 23:54:21.000000 UTC,28.4,26,26.4,23
1535727,2023-06-26 20:04:33.000000 UTC,27.9,26,26.3,1
1535727,2023-09-13 21:19:19.000000 UTC,28.9,26,26.8,0
